replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
3	35.0	-484.1166	8.2156	22.0902	10.6519	8.9559	2.9958	0.0	210.2476	-28.2784	-29.9331	0.0	-2.7802	-253.67290000000003	-255.014
3	36.0	-479.0894	7.6538	14.6542	10.7137	13.3682	3.0178	0.0	202.7252	-26.3897	-27.8822	0.0	-3.2353	-258.074	-259.59929999999997
3	37.0	-484.7255	9.7213	15.9017	6.5234	10.4291	2.9858	0.0	208.1044	-25.6354	-27.2265	0.0	-2.4434	-260.72970000000004	-262.12440000000004
3	38.0	-484.6148	6.6011	15.2832	11.0611	16.6246	3.0444	0.0	205.8184	-25.2684	-26.2871	0.0	-3.7747	-256.2438000000001	-258.2695000000001
3	39.0	-490.2572	8.4762	18.3703	11.5252	14.7252	2.9598	0.0	212.2538	-24.7849	-27.2373	0.0	-3.0001	-252.18409999999997	-252.69149999999996
3	40.0	-481.8329	11.0338	18.0024	8.8004	11.0813	3.041	0.0	206.1854	-26.942	-28.916	0.0	-2.8119	-255.41650000000004	-256.48350000000005
4	1.0	-478.9591	7.8636	17.1707	18.003	13.1462	3.0401	0.0	202.0524	-26.3222	-28.0314	0.0	-3.3743	-249.08879999999996	-250.41969999999998
4	2.0	-484.2209	7.769	16.9339	8.9946	9.1903	3.043	0.0	208.4113	-25.4259	-27.6631	0.0	-3.0301	-260.57199999999995	-261.3778
4	3.0	-483.5561	8.6438	15.7331	10.705	13.645	3.0192	0.0	206.5547	-25.323	-26.9675	0.0	-3.6908	-255.9136	-257.2883
4	4.0	-483.9009	8.3279	25.9611	7.8258	15.4863	3.0522	0.0	208.4967	-26.3434	-28.2058	0.0	-3.5006	-246.45729999999998	-247.64709999999997
4	5.0	-477.9539	7.3039	18.3603	12.4802	10.9204	2.9977	0.0	205.6542	-28.1692	-29.8625	0.0	-1.7204	-251.82009999999997	-253.12449999999995
4	6.0	-476.1438	7.2049	15.6439	15.0519	11.3346	3.0446	0.0	202.27	-27.8809	-29.4286	0.0	-2.9605	-253.98299999999995	-255.47989999999996
4	7.0	-475.606	7.9425	18.284	5.5507	10.9747	2.9777	0.0	201.8129	-26.7325	-28.4515	0.0	-3.5719	-260.0869	-261.3456
4	8.0	-486.5179	8.7292	25.7201	7.9082	12.8	3.0001	0.0	210.8137	-28.1779	-30.5166	0.0	-2.4889	-250.55209999999997	-251.21349999999995
4	9.0	-483.2079	9.1339	17.9545	6.2853	6.917	2.9927	0.0	205.1874	-24.0864	-26.2305	0.0	-0.4823	-261.4499	-262.2985
4	10.0	-481.5599	11.6561	23.5866	9.1349	11.3237	2.9971	0.0	206.2885	-26.7722	-28.6895	0.0	-1.724	-246.98650000000006	-248.06630000000007
4	11.0	-485.108	7.1064	18.1748	11.8183	8.5429	3.0177	0.0	206.3587	-25.2681	-27.0796	0.0	-3.3484	-260.5172	-261.72339999999997
4	12.0	-479.8285	8.2995	15.3949	13.507	9.1503	2.9921	0.0	201.0896	-23.6302	-25.3512	0.0	-2.1059	-256.8522	-258.1233
4	13.0	-472.7302	7.4254	13.3296	6.3007	15.2434	3.0507	0.0	199.9159	-26.6825	-28.0191	0.0	-3.297	-258.78060000000005	-260.4947
4	14.0	-474.823	7.3985	15.1751	8.5851	11.4702	3.0508	0.0	200.8677	-26.6356	-28.2029	0.0	-3.5309	-260.0093999999999	-261.49289999999996
4	15.0	-485.3804	8.6478	24.1446	4.8022	8.4527	3.0301	0.0	206.0216	-25.6426	-27.5678	0.0	-1.8466	-259.6958	-260.8007
4	16.0	-484.1873	8.4761	18.8973	15.0627	15.7407	3.0074	0.0	208.6342	-27.7939	-30.097	0.0	-3.2308	-247.69670000000005	-248.40100000000004
4	17.0	-477.1113	7.1258	12.7335	7.5148	11.4206	3.0182	0.0	202.914	-27.0019	-28.6447	0.0	-2.6698	-263.69890000000004	-265.0743
4	18.0	-479.2261	8.3974	17.7955	5.712	7.6766	2.9871	0.0	203.2525	-24.9636	-27.0417	0.0	-2.766	-263.2127	-264.1217
4	19.0	-478.9923	8.3798	24.6288	6.3135	9.1781	3.0074	0.0	200.061	-23.713	-25.7596	0.0	-1.8177	-255.00100000000003	-255.9618
4	20.0	-477.3828	8.8091	14.1925	8.8493	16.6176	3.0321	0.0	202.2395	-26.8181	-28.4356	0.0	-3.4715	-255.54979999999995	-256.96439999999996
4	21.0	-474.818	7.9007	26.4706	6.1212	15.7936	3.0595	0.0	203.0298	-28.063	-29.5491	0.0	-3.4394	-245.43110000000004	-247.00450000000004
4	22.0	-485.2732	7.8785	18.0913	11.295	9.7173	3.01	0.0	209.3803	-26.0653	-28.3589	0.0	-3.2485	-257.5082	-258.2246
4	23.0	-480.6764	8.5294	22.1278	8.3632	11.6169	3.0496	0.0	202.1662	-23.9429	-26.262	0.0	-2.6682	-253.75350000000003	-254.484
4	24.0	-482.0434	7.3546	27.0328	8.6763	14.8068	3.0455	0.0	205.2526	-26.5062	-28.1522	0.0	-3.4852	-247.51220000000004	-248.91170000000002
4	25.0	-474.0666	7.5621	16.9696	10.5884	15.3297	3.0236	0.0	200.5347	-27.2521	-29.1946	0.0	-2.958	-252.21110000000004	-253.29220000000004
4	26.0	-474.4126	7.7983	20.5158	7.6756	12.2694	3.0135	0.0	198.4413	-23.4574	-24.9824	0.0	-1.4588	-251.1399	-252.62840000000003
4	27.0	-475.0989	6.5442	19.5658	6.7092	11.6728	3.0576	0.0	202.3391	-27.1073	-28.353	0.0	-2.7735	-256.33670000000006	-258.14860000000004
4	28.0	-473.7789	6.5496	18.0011	12.6003	11.3227	3.0147	0.0	198.4589	-24.0351	-25.5032	0.0	-3.4726	-252.8074	-254.354
